Kind,Identifier,Term
1,13316,"Document, Financial, Bankbook"
1,13325,"Document, Financial, Bookkeeping Record"
1,13327,"Document, Financial, Bookkeeping Record, Account Book"
1,13328,"Document, Financial, Bookkeeping Record, Account Book, Ledger"
1,13326,"Document, Financial, Bookkeeping Record, Blotter"
1,13329,"Document, Financial, Bookkeeping Record, Cashbook"
1,13330,"Document, Financial, Bookkeeping Record, Daybook"
1,13331,"Document, Financial, Bookkeeping Record, Payroll Record"
1,13333,"Document, Financial, Bookkeeping Record, Payroll Record, Paybook"
1,13334,"Document, Financial, Bookkeeping Record, Payroll Record, Payroll"
1,13332,"Document, Financial, Bookkeeping Record, Payroll Record, Time Book"
1,13335,"Document, Financial, Bookkeeping Record, Payroll Record, Timecard"
1,13336,"Document, Financial, Bookkeeping Record, Payroll Record, Timesheet"
1,13317,"Document, Financial, Budget"
1,13318,"Document, Financial, Certificate of Deposit"
1,13320,"Document, Financial, Checkbook"
1,13321,"Document, Financial, Estimate"
1,13314,"Document, Financial, Financial Records"
1,13346,"Document, Financial, Financial Statement"
1,13347,"Document, Financial, Financial Statement, Bank Statement"
1,13337,"Document, Financial, Insurance Record"
1,13338,"Document, Financial, Insurance Record, Insurance Policy"
1,13322,"Document, Financial, Mortgage"
1,13323,"Document, Financial, Receipt"
1,13324,"Document, Financial, Receipt, Receipt Book"
1,13339,"Document, Financial, Sales Record"
1,13340,"Document, Financial, Sales Record, Bill of Sale"
1,13341,"Document, Financial, Sales Record, Invoice"
1,13342,"Document, Financial, Sales Record, Purchase Order"
1,13343,"Document, Financial, Sales Record, Purchase Order, Requisition"
1,13344,"Document, Financial, Sales Record, Voucher"
1,13319,"Document, Financial, Stock Certificate"
1,13348,"Document, Financial, Tally"
1,13345,"Document, Financial, Tax Return"
1,13394,"Document, Flip Book"
1,13686,"Document, Form"
1,13687,"Document, Form, Application"
1,13688,"Document, Form, Application, Financial Application"
1,13689,"Document, Form, Application, License Application"
1,13690,"Document, Form, Application, Membership Application"
1,13691,"Document, Form, Application, Registration Application"
1,13693,"Document, Form, Call Slip"
1,13692,"Document, Form, Order Form"
1,13377,"Document, Government, Act"
1,13378,"Document, Government, Act, Statute"
1,13381,"Document, Government, Birth Record"
1,13382,"Document, Government, Birth Record, Birth Certificate"
1,13383,"Document, Government, Birth Record, Birth Register"
1,13356,"Document, Government, Census Record"
1,13351,"Document, Government, Citizenship Certificate"
1,13357,"Document, Government, Customs Record"
1,13358,"Document, Government, Customs Record, Customs Declaration"
1,13384,"Document, Government, Death Record"
1,13386,"Document, Government, Death Record, Burial Record"
1,13385,"Document, Government, Death Record, Death Certificate"
